numeric1,numeric2,numeric3,numeric4,numeric5,numeric6,numeric7,numeric8,numeric9,numeric10,numeric11,numeric12,numeric13,numeric14,numeric15,numeric16,numeric17,numeric18,numeric19,numeric20,class
0.126221,0.224424,0.647219,0.429616,0.212848,0.050811,0.586885,0.877295,0.461663,0.569376,0.290462,0.741172,0.273867,0.94945,0.332454,0.34707,0.073408,0.76282,0.47109,0.531896,0 
0.810225,0.828431,0.980092,0.489858,0.319091,0.209173,0.267446,0.483056,0.233051,0.209407,0.468949,0.335913,0.823312,0.37131,0.89279,0.922938,0.091543,0.148774,0.161131,0.180635,0 
0.675903,0.149533,0.645656,0.526866,0.648696,0.57931,0.326261,0.9548,0.081427,0.796245,0.515542,0.48361,0.33211,0.689481,0.986466,0.094355,0.370066,0.932733,0.916591,0.757052,0 
0.095001,0.03181,0.719416,0.663694,0.530057,0.484476,0.271922,0.322047,0.972592,0.301718,0.267106,0.736321,0.671821,0.601369,0.42126,0.503364,0.369032,0.97824,0.048003,0.286806,1 
0.083963,0.879284,0.074526,0.796629,0.860005,0.268025,0.920245,0.097931,0.791275,0.449362,0.784048,0.800161,0.546172,0.044033,0.793521,0.436949,0.774914,0.751458,0.158038,0.136621,1 
0.242624,0.720314,0.937312,0.50485,0.26491,0.058123,0.287997,0.493372,0.039477,0.254304,0.08313,0.912538,0.765148,0.065547,0.612711,0.16046,0.01879,0.718021,0.668424,0.687844,0 
0.720996,0.117869,0.691481,0.695118,0.16294,0.129579,0.819807,0.56725,0.98973,0.881248,0.609252,0.591706,0.739627,0.486423,0.923249,0.576267,0.523903,0.534107,0.986297,0.085987,0 
0.698658,0.191688,0.878912,0.152339,0.92783,0.789966,0.815109,0.472648,0.865664,0.315101,0.388267,0.314205,0.79733,0.319255,0.597157,0.564971,0.967912,0.37981,0.871156,0.631609,1 
0.002896,0.386521,0.502168,0.175564,0.777363,0.61657,0.860452,0.999273,0.326434,0.769439,0.522586,0.747051,0.906141,0.876675,0.971979,0.46904,0.111739,0.276019,0.845859,0.511636,0 
0.039554,0.645053,0.797343,0.644077,0.838863,0.426434,0.91723,0.808442,0.64184,0.844923,0.317331,0.389076,0.78252,0.115866,0.915662,0.437527,0.419779,0.375424,0.683535,0.860322,1 
0.164703,0.324767,0.615571,0.179498,0.079344,0.573621,0.465861,0.109563,0.46165,0.192958,0.857022,0.859609,0.160532,0.042295,0.713568,0.76558,0.775327,0.023968,0.097037,0.585268,1 
0.985537,0.534928,0.427512,0.547348,0.429587,0.036007,0.764673,0.035848,0.005423,0.839272,0.291226,0.612721,0.201145,0.925994,0.392535,0.933711,0.080453,0.850932,0.758522,0.996527,1 
0.845547,0.563038,0.747364,0.07535,0.479228,0.278353,0.845242,0.641988,0.828271,0.377786,0.432378,0.551563,0.631791,0.670623,0.222834,0.779363,0.421121,0.264033,0.683994,0.035554,1 
0.92186,0.709496,0.461406,0.655738,0.574086,0.059006,0.335622,0.26787,0.053334,0.957042,0.519905,0.869844,0.222789,0.918738,0.171151,0.117091,0.776242,0.500334,0.831087,0.815834,1 
0.941716,0.154913,0.140812,0.845163,0.007276,0.184572,0.578931,0.989907,0.103354,0.349622,0.162059,0.456294,0.630082,0.376051,0.016151,0.163697,0.953412,0.814402,0.478128,0.258305,1 
0.51045,0.44639,0.919469,0.678321,0.262271,0.709993,0.796932,0.015363,0.511563,0.419409,0.530292,0.36301,0.46283,0.393198,0.682944,0.320979,0.544469,0.472079,0.578471,0.832213,0 
0.434887,0.80727,0.924732,0.070193,0.938926,0.230939,0.236768,0.165084,0.346232,0.982212,0.850789,0.159847,0.669771,0.055392,0.103724,0.221266,0.210589,0.961417,0.816333,0.79585,0 
0.223978,0.749282,0.562544,0.096871,0.07258,0.72104,0.333714,0.03635,0.143564,0.392169,0.113694,0.474561,0.979854,0.898519,0.569096,0.449706,0.529485,0.231689,0.528837,0.871645,0 
0.152543,0.396633,0.178069,0.016178,0.041691,0.828422,0.923778,0.040085,0.010206,0.179532,0.702843,0.652236,0.18049,0.894674,0.098073,0.022332,0.966407,0.827113,0.003684,0.986391,1 
0.884385,0.518561,0.738957,0.616885,0.151086,0.664176,0.447245,0.265463,0.729524,0.714829,0.337246,0.257493,0.470893,0.530749,0.824453,0.520188,0.265943,0.493789,0.912868,0.559887,1 
0.667615,0.509992,0.220606,0.369064,0.27573,0.889792,0.897687,0.039973,0.284882,0.180092,0.310331,0.08935,0.988299,0.640645,0.773267,0.757368,0.703278,0.20655,0.800068,0.834128,0 
0.537893,0.459368,0.311235,0.888201,0.654044,0.341261,0.990732,0.12432,0.198508,0.089709,0.513907,0.481082,0.871502,0.144814,0.683207,0.994579,0.181371,0.586813,0.602816,0.900142,1 
0.794375,0.998386,0.899334,0.421955,0.030132,0.514459,0.652822,0.709048,0.476149,0.221669,0.141044,0.916244,0.89894,0.000268,0.719431,0.999912,0.114638,0.363212,0.160293,0.400924,1 
0.248536,0.840287,0.557014,0.420986,0.860909,0.979597,0.462461,0.763586,0.745541,0.094355,0.275546,0.407051,0.817716,0.469854,0.015861,0.704767,0.400085,0.863667,0.53355,0.366418,1 
0.387607,0.781514,0.890024,0.764089,0.22693,0.191923,0.11489,0.828438,0.380862,0.054713,0.795411,0.652611,0.965254,0.281488,0.987062,0.80542,0.543404,0.520758,0.747207,0.2703,1 
0.642241,0.465956,0.18866,0.872882,0.414862,0.221542,0.325864,0.037534,0.015641,0.630532,0.143652,0.722029,0.676917,0.36624,0.257028,0.419527,0.180452,0.021634,0.250133,0.188356,0 
0.402107,0.391673,0.283533,0.7726,0.874883,0.637119,0.84121,0.010312,0.863238,0.042749,0.552091,0.891195,0.270755,0.638551,0.865679,0.82189,0.813559,0.039401,0.98736,0.884537,1 
0.283487,0.476898,0.886133,0.133087,0.39786,0.146408,0.376028,0.261857,0.686838,0.673087,0.242188,0.30212,0.104639,0.712521,0.133571,0.355076,0.567553,0.444803,0.476448,0.753301,0 
0.419512,0.995293,0.976356,0.457859,0.905067,0.620945,0.370897,0.944498,0.090006,0.838021,0.971727,0.309947,0.311423,0.53516,0.191348,0.838063,0.161898,0.515205,0.688737,0.805666,0 
0.216577,0.83983,0.987627,0.879152,0.197257,0.812935,0.42219,0.055532,0.034215,0.431953,0.04713,0.735336,0.334342,0.660602,0.712637,0.179842,0.093271,0.932297,0.849424,0.301406,0 
0.099519,0.880351,0.63499,0.463173,0.370279,0.409246,0.119538,0.723285,0.131341,0.870677,0.578404,0.748684,0.307725,0.288747,0.827607,0.444952,0.226961,0.29057,0.490098,0.201132,1 
0.253554,0.641755,0.232518,0.532278,0.371023,0.060609,0.805743,0.817513,0.306992,0.290587,0.317223,0.777686,0.657198,0.24743,0.539109,0.314217,0.605828,0.42559,0.21337,0.339546,1 
0.262509,0.647951,0.253598,0.269627,0.340324,0.673536,0.462907,0.920193,0.884614,0.13978,0.88833,0.651053,0.028908,0.809138,0.214318,0.7365,0.302189,0.114193,0.661447,0.104904,0 
0.840792,0.5511,0.70115,0.78689,0.968585,0.558112,0.523272,0.639021,0.000697,0.134112,0.600476,0.168703,0.798895,0.601464,0.881996,0.57606,0.560814,0.598188,0.118969,0.449828,0 
0.560607,0.596349,0.574547,0.906842,0.075175,0.986754,0.904223,0.348495,0.527984,0.044406,0.305281,0.422569,0.961589,0.894899,0.128991,0.225146,0.310335,0.938792,0.025179,0.254823,1 
0.586287,0.059191,0.34599,0.14028,0.014331,0.337189,0.974177,0.702237,0.356444,0.930458,0.960935,0.482186,0.150523,0.232217,0.359313,0.472764,0.355735,0.420954,0.421446,0.418468,1 
0.94422,0.035697,0.891317,0.720431,0.308072,0.267304,0.469504,0.675262,0.960876,0.243135,0.652334,0.505507,0.904683,0.700644,0.055092,0.398068,0.206151,0.094859,0.017408,0.556963,0 
0.779692,0.365347,0.758687,0.098081,0.110801,0.300203,0.602394,0.466157,0.669357,0.677764,0.820264,0.937945,0.060544,0.141143,0.460962,0.690634,0.540109,0.066366,0.122457,0.860829,1 
0.381073,0.521798,0.003337,0.996951,0.720568,0.784701,0.725541,0.316728,0.938357,0.7802,0.359432,0.221436,0.322676,0.238576,0.801887,0.589905,0.764399,0.328736,0.159042,0.477783,0 
0.487118,0.018864,0.067556,0.981373,0.368602,0.439672,0.951746,0.190398,0.238169,0.081344,0.058665,0.350319,0.644894,0.742161,0.739165,0.582386,0.983139,0.764983,0.850218,0.76839,1 
0.534779,0.24715,0.342259,0.497106,0.941566,0.590062,0.065016,0.290736,0.85646,0.966579,0.576286,0.682176,0.039314,0.027559,0.270339,0.097718,0.960201,0.443291,0.456106,0.914864,1 
0.05273,0.681182,0.110033,0.511189,0.120073,0.758053,0.904469,0.597741,0.038021,0.573477,0.769665,0.639259,0.822243,0.830091,0.685956,0.703523,0.331002,0.477398,0.622411,0.653437,1 
0.359974,0.077555,0.53922,0.197998,0.652375,0.484763,0.153314,0.952071,0.395477,0.754312,0.730183,0.319954,0.103696,0.252989,0.50959,0.713984,0.398772,0.529474,0.498858,0.346997,1 
0.089179,0.621514,0.274622,0.596213,0.123733,0.126072,0.122433,0.726189,0.448505,0.539323,0.313305,0.579757,0.531445,0.085277,0.567291,0.698388,0.33578,0.494969,0.786396,0.217248,1 
0.821054,0.97258,0.952606,0.795214,0.629809,0.890509,0.681535,0.786434,0.478251,0.59233,0.298192,0.837539,0.910833,0.050746,0.458568,0.103404,0.501557,0.02704,0.279235,0.314412,1 
0.288893,0.809207,0.656868,0.999435,0.216551,0.567872,0.960591,0.271314,0.61897,0.86223,0.562262,0.715389,0.338212,0.852698,0.733282,0.086672,0.888066,0.332601,0.281267,0.71756,0 
0.191525,0.778149,0.925866,0.765507,0.809374,0.23412,0.820259,0.688864,0.250509,0.00206,0.813329,0.629151,0.908694,0.778519,0.017243,0.699298,0.405811,0.102705,0.996144,0.529926,0 
0.638262,0.716131,0.423881,0.809566,0.621049,0.711252,0.372184,0.969687,0.303131,0.151717,0.485433,0.611773,0.888033,0.183819,0.174106,0.751147,0.835274,0.526856,0.616266,0.4611,1 
0.641032,0.629548,0.794892,0.040877,0.700562,0.710311,0.018588,0.402366,0.040249,0.361112,0.374197,0.972905,0.473765,0.387773,0.342062,0.045376,0.784648,0.084043,0.368145,0.171801,0 
0.866749,0.192376,0.531962,0.892976,0.364299,0.391303,0.57525,0.824163,0.245005,0.267424,0.463518,0.875704,0.912386,0.379494,0.341106,0.177416,0.917686,0.202691,0.210113,0.096951,0 
0.067057,0.453121,0.914505,0.594817,0.73629,0.53574,0.042987,0.042549,0.503237,0.633307,0.177639,0.545589,0.78716,0.259643,0.510104,0.758667,0.044597,0.937375,0.223044,0.159071,1 
0.212949,0.028521,0.191835,0.751944,0.51581,0.645689,0.49994,0.221805,0.448212,0.002297,0.981119,0.615762,0.745259,0.522181,0.502625,0.746462,0.404268,0.522083,0.985753,0.636549,1 
0.378354,0.304947,0.223578,0.491513,0.388514,0.057603,0.400473,0.884038,0.411619,0.033342,0.843928,0.060545,0.793314,0.118047,0.946475,0.539377,0.607685,0.027953,0.383943,0.460143,0 
0.839648,0.067779,0.726039,0.465002,0.201375,0.589888,0.286202,0.245229,0.910664,0.038295,0.589908,0.270172,0.557015,0.735757,0.154096,0.630772,0.260286,0.377838,0.365079,0.37608,1 
0.687131,0.534771,0.118323,0.198774,0.132047,0.33008,0.540664,0.834442,0.792698,0.86436,0.554031,0.079443,0.573286,0.883274,0.259475,0.903473,0.235088,0.650713,0.121257,0.735444,1 
0.479886,0.981285,0.712995,0.63515,0.599872,0.910647,0.351338,0.728154,0.656687,0.537906,0.287375,0.97768,0.762644,0.161216,0.251926,0.094812,0.92875,0.945853,0.058142,0.147064,0 
0.11701,0.013465,0.653278,0.215482,0.588612,0.021878,0.481239,0.271674,0.374902,0.016725,0.268482,0.298725,0.714707,0.579357,0.378085,0.563754,0.599382,0.069873,0.690255,0.864888,1 
0.146081,0.069813,0.562292,0.521729,0.380077,0.965946,0.796992,0.855926,0.148591,0.984736,0.7057,0.917257,0.311415,0.886531,0.290705,0.250653,0.057721,0.959128,0.291389,0.570909,1 
0.183814,0.912322,0.339521,0.314329,0.433171,0.768185,0.751322,0.17039,0.547968,0.866261,0.547384,0.861494,0.510395,0.658497,0.136277,0.635214,0.562415,0.055667,0.723628,0.160953,0 
0.984223,0.705202,0.915717,0.781725,0.284507,0.729754,0.175067,0.361817,0.409729,0.136479,0.755271,0.29238,0.814969,0.318953,0.493265,0.56951,0.755514,0.816791,0.369458,0.24321,1 
