salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,class
44978.93098,10000,51,3,7,2,135000,19,30226.27318,1
33261.0419,34163.41468,74,1,1,2,135000,13,441965.5178,0
138174.402,0,24,1,18,7,135000,27,34065.70539,0
146356.9425,0,74,2,9,5,135000,10,344798.6671,0
99339.7986,0,34,0,8,2,135000,26,6024.31096,0
71182.20266,28095.0672,63,0,5,5,135000,7,66611.49486,0
71550.5906,59565.06012,31,1,13,0,135000,3,160777.2432,0
86560.86808,0,55,3,7,7,135000,9,381447.6931,1
95906.64061,0,44,3,15,4,135000,10,470045.167,1
79439.6358,0,27,4,5,7,135000,5,464938.9837,0
39651.73721,27572.8765,76,1,4,6,135000,7,327289.4095,0
41118.99813,60104.55912,25,4,5,1,135000,11,90189.79818,0
93839.26542,0,70,2,8,3,135000,30,332445.9659,0
113076.8079,0,45,3,15,1,135000,27,365643.4332,1
32036.68512,72727.64986,25,3,3,3,135000,24,74054.9112,0
20000,51104.51422,68,0,2,0,135000,13,213894.2584,0
39392.14635,75000,30,2,7,2,135000,15,266690.8952,0
112852.7192,0,48,4,13,8,86347.27566,14,407602.7403,1
38512.89603,15409.2638,48,1,9,3,135000,19,0,1
44428.60558,54226.15324,32,3,9,8,100494.5329,29,192674.5249,0
126738.6976,0,28,2,19,8,108739.1729,7,149647.004,0
136683.3775,0,24,1,7,4,135000,27,212461.5516,0
53883.25098,27872.78371,54,4,10,5,135000,10,89236.34933,1
133290.5005,0,72,1,8,3,135000,19,478544.7558,0
123095.006,0,53,4,17,0,135000,27,205545.717,1
41013.26647,65925.12099,77,4,2,1,135000,19,246458.9741,0
39800.44122,48711.70207,63,0,2,0,135000,3,147013.5681,0
53983.93486,31163.67658,29,3,3,7,135000,30,237006.2524,0
54807.82635,62457.76452,47,4,15,5,135000,29,348471.2441,1
140563.9731,0,45,2,15,7,135000,4,343021.3822,1
123345.4825,0,63,1,18,3,135000,19,141085.0409,0
74953.43325,0,63,2,3,0,135000,1,270405.0392,0
23157.49676,66802.86265,73,0,8,0,135000,1,104250.3463,0
142358.2568,0,35,3,13,3,135000,13,248291.2584,0
119209.328,0,76,3,10,3,135000,12,35347.59756,0
122807.9438,0,62,0,5,8,98378.22958,8,172104.291,0
48938.46071,23739.74711,65,1,7,6,135000,22,431340.423,0
20000,33626.08688,30,2,1,6,135000,28,218843.651,0
76509.60173,63881.84296,48,1,13,2,135000,15,337054.1622,1
20000,41533.13028,51,4,2,0,135000,2,470921.4124,1
64910.68396,17983.58077,47,3,11,2,135000,13,256440.2599,1
38812.22676,56132.29948,75,1,17,6,135000,24,310480.0227,0
69277.56094,43040.30332,20,2,0,4,135000,25,93838.18629,0
141497.9248,0,65,2,11,1,135000,3,406525.6569,0
140088.8312,0,64,4,3,8,135000,7,281727.2777,0
34934.23067,69994.33135,46,1,9,1,135000,26,461915.6023,1
69474.53053,20167.01079,69,4,16,4,135000,17,387894.2142,0
29272.23437,57041.51161,48,1,14,2,135000,26,436948.4525,1
64788.44873,34153.81671,79,4,4,1,135000,13,77918.10245,0
135639.8791,0,27,4,18,6,135000,2,19186.17634,0
105017.6357,0,78,0,7,0,135000,24,60901.15443,0
30651.27828,44825.57704,70,3,3,6,135000,21,274973.3405,0
124914.8927,0,20,3,13,0,135000,30,422490.7151,0
51554.6034,46669.13195,43,1,5,8,76038.45105,29,403873.2068,1
41756.58586,53099.38256,30,0,8,8,55950.03766,26,261237.0119,0
40777.17765,15349.01771,24,3,17,2,135000,29,389602.4913,0
22852.18355,63649.39264,20,3,18,3,135000,20,471134.0016,0
46972.72177,21508.29209,58,4,0,3,135000,6,202696.6148,1
81360.09472,0,57,2,0,5,135000,10,464026.0106,1
118399.6735,0,52,3,1,2,135000,16,349837.5019,1
97797.99614,0,51,1,16,0,135000,14,322701.6857,1
34013.2303,38244.75762,37,4,1,7,104974.9305,15,35509.86716,0
39825.37599,64632.65786,67,0,7,4,135000,5,449697.2514,0
42887.81182,46024.89451,68,0,7,5,135000,19,311664.9223,0
136958.0552,0,62,3,0,2,135000,1,471262.0422,0
73966.94405,28704.23345,28,1,3,6,135000,11,427243.0564,0
58996.45533,70073.29654,43,2,8,4,135000,5,327786.8183,1
147256.2284,0,54,0,6,1,135000,7,494074.745,1
137604.4732,0,80,2,16,1,135000,12,129093.431,0
67246.29728,39001.98773,70,1,6,4,135000,2,241223.8674,0
111248.5351,0,53,1,17,4,135000,17,464879.9246,1
138762.6193,0,27,3,17,7,135000,19,270868.1454,0
130104.2157,0,57,0,2,0,135000,22,0,1
66419.40224,71728.30907,70,1,0,6,135000,12,430196.5454,0
105905.1717,0,78,1,13,4,135000,2,221805.0272,0
66718.68592,39538.49851,22,3,2,0,135000,29,359392.595,0
105371.3765,0,28,0,16,3,135000,13,118819.0244,0
150000,0,20,3,7,1,135000,10,52783.80121,0
78824.04664,0,70,1,12,6,135000,28,36615.60833,0
104203.6653,0,20,0,4,4,135000,9,472282.7269,0
81031.0909,0,20,3,6,8,69054.64751,3,281226.6043,0
35394.28221,48425.79019,26,1,17,4,135000,4,461495.7806,0
93010.35031,0,44,4,13,8,100031.3233,10,500000,1
89977.24698,0,29,2,12,7,135000,15,119006.3796,0
71357.38975,35901.36404,62,0,17,3,135000,21,413141.1401,0
86564.44796,0,33,2,8,5,135000,22,477016.951,0
141029.8191,0,22,2,9,8,117850.3779,26,166924.9082,0
104962.6416,0,45,4,9,1,135000,17,344391.502,1
91708.12335,0,50,3,10,8,121007.8961,7,446718.263,1
79017.63427,0,24,1,10,1,135000,27,182439.1782,0
126987.4355,0,77,3,9,8,96672.28261,16,276517.6124,0
50959.11776,30872.91248,69,2,10,4,135000,14,158345.5348,0
97361.54119,0,52,2,1,1,135000,15,472890.1963,1
57871.06916,72104.89691,27,4,17,5,135000,30,40516.26375,0
114719.9929,0,35,2,0,6,135000,6,371147.6246,0
127173.5961,0,33,2,4,7,135000,3,278513.526,0
22550.37379,21300.14722,78,3,19,2,135000,20,358223.8561,0
41046.87118,75000,46,2,12,3,135000,9,261612.2675,1
124898.0764,0,41,4,9,8,91488.7258,12,425863.757,0
126582.4113,0,54,1,7,8,72968.41554,26,230828.1126,1
102972.1702,0,51,0,6,2,135000,4,157549.9681,1
28104.2676,55128.965,79,0,7,3,135000,12,212529.6273,0
91758.28955,0,55,0,4,4,135000,4,95280.30363,1
64470.53502,66023.69811,72,0,3,5,135000,27,72924.56732,0
70008.3427,68243.48029,44,4,16,2,135000,2,369048.2027,1
43081.31822,45918.9137,41,1,5,5,135000,19,191982.4034,1
81168.48296,0,34,4,9,3,135000,24,35099.85573,0
37764.29766,66877.77036,25,1,7,2,135000,5,284129.4257,0
150000,0,23,4,17,3,135000,10,500000,0
30760.74623,56503.67526,78,3,3,1,135000,20,224080.096,0
115765.8595,0,71,4,19,6,135000,8,394825.6264,0
50168.50762,19360.93132,34,2,17,4,135000,21,187646.3446,0
108117.3094,0,44,2,8,5,135000,30,304615.6456,1
117407.261,0,23,1,4,0,135000,30,302195.4793,0
47941.2591,49966.12135,24,0,2,7,135000,7,83615.7243,0
98186.30577,0,76,3,7,1,135000,2,199271.624,0
123561.0308,0,48,2,18,8,133029.288,25,76055.51482,1
85061.24877,0,32,1,11,6,135000,26,474664.1651,0
42224.98333,33343.62693,60,1,4,1,135000,27,166459.6241,0
118559.7817,0,72,3,2,2,135000,16,287256.5499,0
120060.6862,0,21,1,16,2,135000,27,241135.1946,0
62275.60136,52300.64006,49,2,16,8,81536.71877,22,428596.1819,1
48687.53178,58467.24232,41,2,1,8,123576.2245,11,201617.3953,1
124449.2735,0,76,1,0,5,135000,17,124080.9386,0
102587.4285,0,20,1,19,6,135000,2,291874.2933,0
37922.35501,65862.36563,44,2,9,0,135000,27,411478.2194,1
20000,51088.21764,69,2,13,2,135000,20,203408.6924,0
20863.03794,69387.31246,53,4,2,0,135000,29,91408.7083,1
97753.98263,0,48,1,17,1,135000,27,228509.3055,1
76230.20993,51876.61688,70,2,17,0,135000,20,239003.9728,0
61490.09424,50292.74256,69,1,18,7,135000,2,122582.229,0
71638.6117,33310.69818,26,1,6,6,135000,28,173247.3789,0
119640.7793,0,33,2,19,3,135000,3,331233.6448,0
85002.33367,0,62,4,6,8,86154.72856,3,79004.52057,0
126499.072,0,78,4,9,4,135000,26,477178.6408,0
78407.74455,0,23,2,14,3,135000,23,198359.2028,0
78825.20872,67893.24587,41,2,6,4,135000,13,276219.7638,1
84333.9113,0,69,3,16,1,135000,29,227553.5108,0
141174.4209,0,71,3,2,5,135000,6,248924.0085,0
36326.11199,70815.51541,57,2,4,4,135000,3,416774.0346,1
57481.24511,24219.35844,80,2,19,7,135000,3,87090.63941,0
76974.37959,0,70,0,16,5,135000,11,235786.548,0
122464.6149,0,35,4,3,7,135000,27,474694.3411,0
115800.1138,0,30,4,12,0,135000,29,462889.3802,0
43973.41539,26681.01539,49,4,8,3,135000,23,436988.9052,1
138893.0818,0,51,4,3,8,57413.63788,14,247379.1391,1
136962.606,0,74,1,0,8,95153.42578,26,420048.2066,0
116528.7053,0,76,0,11,5,135000,2,167440.0038,0
130833.0008,0,23,2,15,5,135000,7,29638.03906,0
103581.5907,0,77,0,17,6,135000,16,450230.0564,0
77603.71927,16675.83002,71,0,2,7,135000,2,41068.79664,0
25721.72544,75000,24,2,9,4,135000,16,141667.1945,0
125982.6712,0,53,1,1,3,135000,9,251534.6838,1
102942.1021,0,30,3,8,7,116484.3955,15,418543.0306,0
122105.3795,0,33,4,17,6,135000,11,308658.6156,0
146777.3863,0,24,1,13,4,135000,4,282599.7609,0
141049.4866,0,39,4,4,6,135000,9,27116.55534,0
126448.6574,0,61,0,10,5,135000,7,500000,0
58090.26917,65702.48366,62,0,0,8,105764.5899,12,217997.9872,1
74253.30416,40200.86003,67,1,17,8,96573.52209,4,50630.05515,0
137550.1396,0,42,2,3,2,135000,20,277726.9151,1
70768.34809,28505.02859,36,0,10,4,135000,3,249317.2793,0
114737.6349,0,40,3,13,7,135000,24,284935.9197,1
94961.68156,0,36,1,19,0,135000,24,56898.47698,0
40597.46719,43944.48869,20,0,6,5,135000,6,307315.7656,0
76354.84474,0,26,0,4,3,135000,15,339813.8804,0
105552.4818,0,61,0,0,7,135000,29,445405.4449,0
91168.86289,0,75,0,0,6,135000,19,318103.1376,0
80282.98752,0,68,1,19,7,114644.2687,14,396729.7297,0
98032.43651,0,32,1,9,5,135000,24,407000.2727,0
57356.59966,12568.81764,73,4,18,2,135000,11,228469.5188,0
45072.35215,16818.13579,77,0,14,4,135000,16,90572.80287,0
32004.33705,16317.41849,54,0,12,0,135000,26,78329.76304,1
31247.7923,49788.93031,33,3,4,0,135000,11,262716.466,0
123414.4505,0,51,0,14,2,135000,19,126588.8678,1
102491.2198,0,60,2,0,1,135000,29,431329.0163,1
129922.4595,0,47,2,12,5,135000,10,465367.285,1
84956.02521,0,40,0,1,3,135000,12,19313.86366,1
142684.7682,0,67,4,14,4,135000,23,389508.657,0
88022.64951,0,33,4,19,1,135000,16,67203.58854,0
79307.38421,10000,41,3,2,8,58378.12334,18,298115.4446,0
131026.4874,0,78,3,1,1,135000,6,264037.6079,0
98947.96129,0,42,3,14,7,114723.1539,27,47600.89116,1
114155.581,0,69,3,19,4,135000,29,76642.88812,0
90816.37715,0,49,1,16,0,135000,12,168983.5016,1
39974.65829,40998.1605,38,1,0,3,135000,8,411599.372,0
92748.35104,0,23,2,12,6,135000,13,376689.6652,0
52381.55815,23665.92682,71,2,18,2,135000,20,53691.27441,0
109696.8907,0,33,2,18,1,135000,11,306930.8132,0
150000,0,71,0,19,6,135000,5,198375.7234,0
47817.84173,20096.72997,77,4,5,8,104484.6666,19,295701.6721,0
129804.126,0,39,2,18,4,135000,10,430324.8617,1
90560.66979,0,77,0,18,6,135000,15,469039.022,0
60790.38134,75000,55,0,6,4,135000,14,417998.7835,1
51937.83307,23807.17307,50,3,10,7,115785.3279,22,180286.3702,1
75127.15274,0,58,1,5,4,135000,29,239634.2341,1
35163.88797,72024.38005,79,0,14,3,135000,18,134335.7574,0
71603.97299,27425.98631,52,2,11,1,135000,20,116490.9076,1
125684.3106,0,71,4,1,7,135000,7,75617.26886,0
59632.25172,35416.2212,33,2,12,2,135000,16,252940.2811,0
142513.9,0,41,0,17,7,135000,4,98291.30237,1
104773.2122,0,46,3,11,0,135000,18,334005.1613,1
125359.1955,0,27,1,17,2,135000,6,472226.632,0
102822.3753,0,66,4,4,7,135000,11,262757.0305,0
142989.9354,0,43,2,18,4,135000,12,375447.0364,1
109304.7165,0,61,1,2,8,64242.59178,4,88362.85209,0
139245.1188,0,37,2,4,1,135000,21,42994.18849,0
48816.16877,53332.06993,54,0,18,2,135000,22,344485.8304,1
125267.5285,0,36,2,17,0,135000,20,50457.25686,0
148913.4369,0,30,1,18,4,135000,21,366874.0631,0
114830.9249,0,72,0,19,7,135000,13,183800.4905,0
123235.8102,0,60,1,19,6,135000,21,500000,0
89350.37006,0,40,4,19,5,135000,3,32435.88793,1
142993.2327,0,36,1,10,1,135000,22,140425.802,0
114758.762,0,68,2,13,8,134266.6983,10,404982.1119,0
22229.85426,55873.89839,29,4,11,2,135000,3,437096.8629,0
141199.8067,0,51,3,8,2,135000,12,74644.38473,1
60916.15423,54527.55295,51,0,3,4,135000,9,29687.24726,1
130713.5948,0,40,3,11,2,135000,23,56376.68577,1
129002.9207,0,63,3,5,2,135000,14,425581.4366,0
60510.33735,23121.96389,70,1,18,3,135000,9,442853.1873,0
58602.99107,45925.21893,29,4,10,0,135000,21,206282.9013,0
52205.66794,44700.65661,34,4,13,7,135000,4,274402.4457,0
81450.61739,0,58,2,0,6,135000,19,131665.4479,0
72199.17821,0,31,4,13,5,135000,18,302651.4867,0
127786.606,0,46,2,15,1,135000,22,0,1
37564.26825,53682.21951,72,1,10,7,135000,22,407501.0746,0
104200.8434,0,64,0,5,2,135000,20,196894.3018,0
80030.00439,0,22,4,14,8,104280.1228,12,390769.0935,0
115322.3206,0,31,1,9,8,128536.9887,3,241098.2754,0
71814.84043,20635.12954,67,3,7,4,135000,4,32092.45823,0
86877.1143,0,63,3,4,6,135000,30,378365.476,0
27146.33944,52252.36004,49,3,19,2,135000,23,8953.972124,1
63284.71451,48381.90525,36,1,14,8,118479.9917,15,337130.4733,0
100933.2663,0,71,3,19,6,135000,8,278940.4201,0
143926.3711,0,28,3,19,5,135000,3,89790.06468,0
79139.62098,0,80,4,1,1,135000,20,13717.50551,0
90277.42898,0,80,4,10,8,135000,27,140418.7736,0
54118.4336,23082.51921,76,3,2,6,135000,20,466775.872,0
97893.25638,0,61,0,9,1,135000,2,474945.8107,1
82815.5434,0,41,0,10,4,135000,20,500000,1
148296.65,0,22,1,16,7,112825.1708,19,264466.0172,0
63049.17146,53179.56531,69,0,11,3,135000,30,385233.5505,0
51783.31546,45287.1874,80,3,11,7,135000,15,468442.5132,0
37925.72851,55297.11464,77,2,16,0,135000,4,242963.7613,0
116008.0933,0,34,0,11,7,113664.7849,29,160955.336,0
35620.2353,50215.0431,70,2,18,8,49185.96393,16,26058.18459,0
62533.03539,32051.49645,64,3,6,3,135000,10,287363.1168,0
130105.7506,0,24,1,19,6,135000,17,450609.6355,0
29749.4862,14904.74545,78,4,14,7,135000,10,257292.2451,0
97669.10737,0,67,0,2,0,135000,25,206482.5332,0
93344.43409,0,23,4,15,3,135000,10,12468.53599,0
25493.9877,36482.08333,36,0,0,5,135000,28,257244.3148,0
40552.57176,10000,55,1,14,2,135000,4,151100.7491,1
77614.4625,0,51,3,13,6,135000,19,0,1
133205.7254,0,23,0,16,1,135000,13,156677.8004,0
68348.53865,39011.25266,64,3,9,0,135000,15,417646.9735,0
70906.75242,0,56,4,10,5,135000,8,0,1
77233.76907,35995.70215,73,0,17,7,135000,9,477469.4867,0
67657.81084,65996.70614,58,1,13,2,135000,11,45059.43665,0
143060.6818,0,30,3,17,7,135000,2,391695.9481,0
147937.0685,0,41,2,10,7,135000,3,42354.73178,1
129463.5122,0,80,3,13,6,135000,19,405806.2747,0
52949.16278,50161.44738,63,0,6,0,135000,30,442363.2162,0
78120.11486,0,54,3,7,3,135000,7,152523.8094,1
111189.0398,0,33,1,6,4,135000,16,149039.6527,0
136275.5045,0,54,3,13,1,135000,7,34808.2013,1
40437.22038,35383.50782,56,1,17,0,135000,18,162254.9757,1
63527.70821,56612.08577,41,3,14,0,135000,4,425826.2839,1
21126.13814,59951.68342,61,0,19,7,135000,29,112727.118,0
132454.5989,0,37,2,3,0,135000,3,22796.54745,0
26937.44371,73411.0532,40,1,16,5,135000,12,297295.8256,0
90811.12599,0,42,4,8,3,135000,9,86454.34059,1
107455.3649,0,51,0,15,8,69975.51281,16,308047.2318,1
124808.5224,0,76,0,10,2,135000,27,323022.621,0
37479.99886,23637.32948,20,4,3,1,135000,25,410739.6896,0
73611.10412,0,68,3,0,2,135000,2,312588.5565,0
50395.58178,68171.88024,28,4,7,0,135000,13,379625.8939,0
71970.32457,0,27,3,9,6,135000,21,463247.4867,0
73119.92519,47406.71519,44,4,17,0,135000,14,38814.7038,1
49351.13734,33779.2789,32,2,9,0,135000,2,300902.5315,0
52372.29479,53014.44158,43,1,6,4,135000,19,349856.8397,1
40892.45979,27810.31722,42,1,5,5,135000,18,188957.3414,1
139023.1273,0,20,4,4,5,135000,16,104680.5184,0
140931.9435,0,45,3,14,6,135000,26,49061.59666,1
52566.45174,46687.56205,71,4,4,5,135000,10,314481.0554,0
90992.62484,0,27,1,9,1,135000,22,138893.8055,0
106641.084,0,50,0,16,5,135000,20,66591.92741,1
111128.1033,0,76,4,10,6,135000,28,86871.40729,0
138388.6703,0,65,2,18,4,135000,20,199243.198,0
66258.00373,48554.18191,50,0,11,0,135000,4,289579.9395,1
25086.2967,56058.82301,29,4,14,5,135000,1,407093.8974,0
42325.29866,65229.45297,67,4,4,7,107445.4439,8,300351.994,0
91888.84731,0,58,4,6,8,88977.83457,14,75704.44308,1
21221.29813,53473.53078,23,2,12,1,135000,11,344746.368,0
48452.2581,58631.55252,47,0,9,8,135000,19,387229.9544,1
83137.80268,0,68,1,13,7,108829.3952,10,398524.0977,0
84452.19118,0,27,3,10,5,135000,28,214214.5143,0
63484.93507,17553.98544,40,0,10,6,135000,4,32672.45639,0
74139.13223,15055.6165,26,1,2,8,57743.57135,7,255001.1812,0
99523.88097,0,55,4,12,6,135000,28,178723.1268,1
150000,0,36,4,13,1,135000,22,135584.4804,0
40847.99492,70317.94775,71,2,0,1,135000,3,90449.37911,0
61079.17841,11946.4424,40,1,17,5,135000,23,195585.406,0
143519.587,0,56,2,1,3,135000,5,185572.3519,1
99417.73531,0,32,2,1,8,135000,25,33880.24129,0
81297.5268,0,68,1,16,4,135000,1,472520.8553,0
32539.90664,30206.12145,67,4,8,3,135000,15,26613.75339,0
49540.82342,71452.73936,58,4,3,5,135000,14,209548.4002,0
138810.1479,0,64,4,13,6,135000,3,266488.6727,0
142843.9572,0,63,3,13,4,135000,8,198330.4117,0
142242.1431,0,43,0,14,3,135000,7,195496.6787,1
75817.74194,0,61,4,4,8,97597.20621,6,41420.26181,0
132840.1649,0,42,2,9,0,135000,28,485443.2794,1
57030.03863,49844.79795,23,4,11,3,135000,13,237213.6995,0
66329.12629,32658.93314,36,3,16,6,135000,27,369720.6585,0
55914.38172,72713.52649,45,3,7,4,135000,15,200552.0922,1
52402.77066,37383.88135,38,4,14,8,64284.53803,6,83066.52285,1
137306.4566,0,43,1,6,1,135000,16,302713.6834,1
101307.9145,0,25,2,16,2,135000,13,333542.2485,0
61728.08564,50024.4095,56,1,4,8,60294.67283,16,468419.0861,1
76623.2976,0,26,1,19,1,135000,7,276471.1771,0
146859.2794,0,46,4,0,7,135000,2,333101.9542,1
73955.16249,26197.74261,36,0,8,0,135000,4,443255.8299,0
108750.2014,0,61,4,2,1,135000,9,172115.0093,0
76794.29133,0,64,3,14,1,135000,11,75723.48162,0
78098.32868,0,22,4,8,5,135000,3,54507.58813,0
118284.2705,0,68,4,10,8,56186.88736,22,283326.8882,0
62286.45225,23344.04368,47,2,15,8,55852.11839,19,75653.36494,1
22220.17408,24137.00827,54,4,2,5,135000,13,450939.1686,1
109549.431,0,56,2,16,8,48614.53424,11,462089.7915,1
140697.3089,0,69,0,19,5,135000,27,255337.255,0
46990.10958,22292.74165,73,3,3,6,135000,30,149942.844,0
78483.73035,0,65,3,10,5,135000,10,343226.2001,0
43891.56968,33258.91311,77,4,9,6,135000,12,161369.8533,0
29482.81868,69487.645,57,1,13,0,135000,21,221367.0628,1
150000,0,65,1,19,8,82472.3059,20,83166.3364,0
150000,0,24,4,4,8,104361.2866,21,134339.3949,0
76320.6989,0,57,0,15,1,135000,22,79991.18209,1
37866.48004,43998.15833,32,3,5,8,86212.46998,27,479665.9554,0
136064.627,0,32,2,17,3,135000,11,106617.9865,0
150000,0,47,2,4,3,135000,26,178552.4317,1
37035.58845,30041.14819,64,0,1,4,135000,2,430163.3555,0
105028.0305,0,39,0,8,6,135000,22,500000,0
109770.4385,0,47,3,10,8,120288.9681,9,333436.7546,1
44066.05921,15034.65869,60,4,9,2,135000,19,181206.0711,1
139330.2229,0,73,3,5,8,89069.36994,13,104040.5731,0
103153.9899,0,79,0,0,4,135000,24,204798.2576,0
58690.88241,21725.62379,57,2,2,2,135000,20,321606.6016,1
30332.45658,35177.29607,67,4,13,6,135000,15,475564.424,0
90678.14951,0,43,2,15,6,135000,27,319219.4426,1
109644.3965,0,24,3,13,8,108874.7091,21,358954.8191,0
69005.20497,29837.53353,49,1,2,5,135000,14,18423.79355,1
103922.428,0,23,4,8,5,135000,22,405893.2985,0
106671.5149,0,58,3,14,0,135000,21,235590.7938,1
80362.47045,73355.7352,38,4,9,3,135000,5,407341.3584,0
136687.0725,0,44,4,14,5,135000,15,330432.877,1
72444.86473,37302.10207,60,3,17,5,135000,16,489115.117,0
132842.7175,0,36,1,14,1,135000,8,482720.4272,0
116281.6741,0,25,1,16,5,135000,12,177293.9883,0
68680.19767,39473.03638,48,3,0,3,135000,7,307693.5944,1
141803.7458,0,66,3,7,4,135000,7,450088.3403,0
65642.38258,73556.87203,54,4,7,8,117178.6837,5,453676.0102,1
130499.2342,0,21,4,9,8,135000,4,433286.9154,0
140336.9426,0,38,1,12,0,135000,29,400679.8107,0
72328.47527,73886.38924,72,1,6,4,135000,13,47160.61824,0
134957.3552,0,74,0,16,0,135000,1,118131.322,0
143027.8673,0,53,2,0,2,135000,22,100554.3806,1
36400.71601,51563.57053,59,0,5,7,135000,4,65093.18022,0
26031.11306,40548.54674,56,1,11,0,135000,9,338602.4266,1
86207.88163,0,47,4,11,4,135000,11,296202.7906,1
117156.7887,0,75,3,8,5,135000,30,300950.424,0
76727.48056,31027.12179,39,1,18,6,135000,2,371292.15,0
31258.9147,43285.27578,42,0,10,1,135000,14,329506.3017,1
57249.62632,56444.46912,54,3,13,3,135000,24,456410.2828,1
92028.47682,0,61,0,14,3,135000,11,465383.8523,0
108852.6071,0,20,4,4,7,107927.4929,1,372467.6351,0
47066.89583,42543.41958,57,2,11,4,135000,8,287239.766,1
140087.1515,0,27,3,1,2,135000,4,408892.538,0
98730.46177,0,24,2,14,6,135000,7,235430.1087,0
132970.1554,0,24,4,13,5,135000,25,305754.0925,0
28475.6638,71567.71596,73,4,12,8,93608.4376,25,442056.7281,0
65863.8693,31340.36143,59,1,8,1,135000,9,90928.10954,1
99123.218,0,52,2,17,7,135000,4,460830.3093,1
134388.9117,0,23,3,13,8,53172.96683,27,162968.6109,0
38376.14866,40380.85531,75,4,1,8,102205.9691,12,337329.5399,0
135409.7267,0,79,0,17,2,135000,13,173684.38,0
94963.23312,0,54,1,13,2,135000,19,291187.6177,1
44002.26174,29269.15729,74,0,17,7,135000,2,39683.38921,0
33156.79718,39776.4099,73,1,5,7,135000,14,63779.1544,0
42245.67618,34002.78616,74,3,17,4,135000,4,137882.413,0
54741.16061,61818.62462,21,1,2,1,135000,8,353096.4069,0
44336.57202,68495.69029,21,4,2,4,135000,29,437012.2897,0
130659.5981,0,52,1,9,7,135000,17,30504.0452,1
44720.2626,75000,53,1,15,5,135000,26,370786.5517,1
80429.51797,47703.52003,74,0,13,7,135000,14,159530.6301,0
107568.8733,0,45,3,18,8,120127.9578,30,439431.4756,1
94639.32144,0,20,3,1,6,135000,1,26878.22524,0
