n1,n2,n3,n4,n5,n6,n7,n8,class
70.1,60.4,1013.3,11.7,5.4,10.1,82.9,60.1,1.0
75.9,68.1,1008.7,11.6,10.6,22.0,86.0,66.9,0.0
68.8,61.8,1020.4,10.5,3.4,13.0,73.9,62.1,0.0
65.5,60.3,1016.6,10.6,10.6,22.0,77.0,57.9,1.0
77.5,72.0,1007.7,11.1,5.4,13.0,84.9,70.0,0.0
75.3,65.7,1010.0,13.6,11.5,17.1,87.1,64.9,0.0
82.1,74.7,1009.5,9.7,10.6,14.0,95.0,73.9,0.0
70.8,68.7,1003.2,9.8,4.0,13.0,75.9,66.9,1.0
74.6,69.1,1014.0,11.7,7.5,17.1,84.9,68.0,1.0
82.6,72.8,1019.8,13.7,9.6,13.0,93.9,73.9,0.0
82.3,73.8,1009.0,12.3,5.5,10.1,91.9,72.0,1.0
74.5,59.0,1022.4,14.9,7.9,13.0,84.0,63.0,0.0
68.6,63.4,1013.3,10.4,11.0,15.9,73.0,64.0,1.0
81.5,69.1,1005.6,10.1,9.0,22.9,91.9,71.1,0.0
73.2,61.2,1017.7,12.0,4.7,13.0,86.0,60.1,0.0
82.8,76.6,1009.2,13.3,10.8,17.1,90.0,75.0,1.0
67.9,60.7,1021.0,14.1,6.2,10.1,78.1,55.9,0.0
70.3,61.3,1019.2,10.7,2.2,8.9,82.0,55.9,0.0
81.1,71.2,1017.8,12.0,5.9,13.0,91.9,70.0,0.0
81.7,74.7,1013.0,12.8,8.6,15.9,93.0,72.0,0.0
77.5,72.7,1014.6,4.3,4.1,8.9,86.0,72.0,1.0
68.5,66.5,1010.0,6.2,5.9,15.9,79.0,64.9,1.0
73.3,61.8,1015.6,14.0,8.5,15.9,88.0,60.1,0.0
70.6,64.7,1015.8,9.6,2.5,13.0,81.0,66.0,1.0
63.8,49.5,1016.8,12.8,7.8,27.0,73.0,55.0,0.0
68.7,62.4,1007.7,11.9,9.5,15.0,80.1,62.1,1.0
59.5,51.5,1023.5,9.7,2.2,8.9,73.0,51.1,1.0
64.9,62.0,1010.7,7.8,7.5,22.9,72.0,54.0,1.0
62.1,57.3,1011.2,12.8,13.2,22.0,77.0,53.1,0.0
69.4,58.2,1015.7,13.3,10.3,22.9,89.1,55.9,0.0
58.9,49.4,1022.6,12.0,4.8,17.1,77.0,46.0,0.0
50.5,44.0,1022.6,12.6,7.3,13.0,62.1,37.9,0.0
63.4,52.3,1016.5,11.1,10.1,17.1,73.0,54.0,0.0
65.9,60.9,1005.2,7.5,8.0,13.0,72.0,62.1,1.0
67.8,59.4,998.8,11.3,17.4,35.0,73.0,59.0,1.0
57.8,48.2,1026.4,13.0,9.6,17.1,64.9,53.1,1.0
61.6,53.4,1015.6,12.4,13.0,25.1,70.0,57.0,1.0
45.0,35.3,1019.1,13.8,9.0,22.9,66.0,33.1,0.0
41.5,35.7,1028.4,12.4,4.7,17.1,57.0,30.0,0.0
47.0,36.0,1021.4,11.7,13.1,25.1,57.0,39.0,0.0
39.4,31.2,1023.7,14.3,6.3,15.0,63.0,26.1,0.0
55.5,46.4,1016.1,14.4,3.8,17.1,78.1,41.0,0.0
56.2,49.0,1001.0,12.7,4.5,15.0,70.0,44.1,0.0
39.5,29.7,1015.7,14.9,11.0,22.9,51.1,32.0,0.0
50.5,40.6,1009.4,14.9,5.9,19.0,72.0,37.9,0.0
41.8,30.7,1015.4,13.4,4.3,13.0,48.0,35.1,0.0
43.6,34.0,1009.8,11.7,8.8,18.1,55.0,35.1,0.0
45.2,34.3,1017.9,13.3,12.3,22.0,50.0,39.0,0.0
33.6,21.3,1025.6,11.5,6.0,17.1,45.0,19.9,0.0
22.9,17.5,1023.5,7.1,13.6,22.0,30.0,19.0,0.0
18.9,9.2,1031.8,13.9,7.3,15.0,23.0,14.0,0.0
39.4,31.1,1008.5,10.7,10.4,18.1,46.0,33.1,0.0
14.9,7.6,1013.3,8.9,12.8,17.1,19.0,12.0,0.0
30.2,21.5,1016.1,10.9,19.0,30.1,39.9,19.0,0.0
29.6,23.5,1027.8,14.9,4.6,10.1,39.9,19.9,0.0
39.0,37.7,1011.7,1.8,6.4,27.0,46.9,16.0,1.0
15.1,5.4,1025.4,11.1,2.3,10.1,30.9,7.0,0.0
25.2,14.9,1015.0,11.9,15.7,30.1,42.1,10.9,0.0
11.5,4.9,1021.2,10.4,8.0,17.1,35.1,1.9,0.0
6.9,-4.3,1026.7,9.9,7.6,17.1,14.0,3.9,0.0
35.6,29.2,1013.0,7.4,1.0,7.0,46.0,26.1,0.0
-6.9,-16.6,1036.0,9.4,8.1,13.0,0.0,-14.1,0.0
4.1,-3.2,1031.3,6.3,7.4,15.0,9.0,0.0,0.0
20.5,9.9,1030.6,14.7,3.1,15.9,39.0,10.0,0.0
34.8,30.9,1019.7,4.6,4.7,13.0,39.9,32.0,0.0
33.4,27.8,1020.1,12.6,3.3,14.0,41.0,28.0,0.0
18.4,12.8,1022.7,10.4,8.8,14.0,26.1,10.0,0.0
18.9,11.8,1031.1,11.2,6.1,15.0,37.9,8.1,0.0
30.6,23.8,1009.2,10.0,3.8,13.0,36.0,24.1,0.0
32.1,24.8,1018.0,12.7,8.0,13.0,53.1,23.0,0.0
32.0,24.6,1019.8,10.2,7.5,14.0,46.0,24.1,0.0
44.0,33.8,988.2,9.7,18.0,40.0,64.9,21.0,0.0
20.5,16.6,1017.7,6.4,13.5,22.0,28.0,12.9,1.0
34.8,23.3,1016.8,13.5,5.5,13.0,43.0,28.0,0.0
26.7,23.3,1021.4,4.8,16.3,26.0,32.0,23.0,1.0
45.4,29.7,1010.1,13.0,7.1,22.0,59.0,37.9,0.0
40.6,34.0,980.2,7.1,14.1,49.0,63.0,34.0,1.0
53.0,31.7,1011.0,14.4,7.2,26.0,66.0,44.1,0.0
36.6,27.3,1019.1,12.5,15.3,26.0,45.0,30.0,0.0
46.0,35.8,1017.6,9.9,11.9,22.0,66.0,34.0,0.0
35.2,24.1,1029.5,10.3,9.3,19.0,45.0,28.0,0.0
60.5,37.2,1018.5,14.4,5.3,12.0,70.0,53.1,1.0
44.1,22.9,1022.1,14.9,8.4,17.1,57.0,32.0,0.0
54.1,49.0,1001.0,9.0,8.8,15.9,75.0,42.1,1.0
39.5,33.4,1020.2,8.0,8.1,17.1,48.9,34.0,1.0
50.7,41.9,1009.2,11.4,10.5,15.9,64.9,44.1,1.0
56.1,42.2,1010.3,14.9,7.1,20.0,71.1,45.0,0.0
55.5,43.6,1020.4,14.0,3.3,13.0,64.9,48.0,0.0
68.1,52.8,1007.6,14.7,0.5,13.0,82.0,52.0,0.0
70.6,55.8,1010.2,13.0,6.3,22.0,79.0,63.0,1.0
67.7,55.5,1011.7,14.5,5.3,15.0,84.9,55.0,0.0
55.3,48.6,1022.6,12.3,9.1,20.0,62.1,52.0,1.0
67.6,60.7,1007.2,9.2,4.6,18.1,80.1,57.9,0.0
58.6,43.6,1017.7,14.0,7.5,13.0,64.9,48.0,0.0
73.7,54.6,1010.3,14.8,16.3,30.1,84.9,63.0,0.0
69.0,51.8,1019.9,13.9,3.0,15.0,80.1,55.9,1.0
80.6,72.5,1010.0,12.7,3.9,13.0,93.9,73.0,1.0
62.1,54.6,1013.4,11.5,5.9,15.0,73.9,51.1,0.0
85.3,73.0,998.2,14.3,11.9,25.1,95.0,77.0,1.0
67.6,52.9,1020.2,14.1,3.8,12.0,78.1,54.0,0.0
76.1,58.7,1013.8,14.9,2.8,8.9,90.0,66.0,1.0
66.3,58.0,1018.8,12.4,4.1,10.1,78.1,59.0,1.0
70.8,65.6,1012.9,7.2,10.4,22.0,77.0,68.0,1.0
64.0,50.7,1020.9,14.9,4.6,10.1,73.0,52.0,0.0
73.8,66.2,1012.1,13.3,3.8,15.0,82.0,66.9,1.0
67.4,60.5,1021.3,13.3,1.4,8.9,77.0,61.0,1.0
68.1,59.2,1021.3,14.0,0.9,5.1,77.0,64.0,1.0
76.1,66.6,1010.4,13.7,4.7,13.0,84.9,66.0,0.0
67.7,53.9,1020.6,14.2,3.8,13.0,77.0,55.0,0.0
73.9,65.6,1018.8,13.7,8.3,22.0,82.0,66.0,0.0
76.3,65.3,1017.0,14.4,1.3,8.0,84.0,69.1,0.0
73.7,67.3,1016.0,8.9,4.1,13.0,86.0,68.0,1.0
66.0,54.5,1020.8,14.9,1.5,7.0,75.9,55.0,0.0
71.4,58.3,1010.9,14.0,3.9,15.0,86.0,59.0,0.0
63.2,59.0,1015.2,10.5,3.5,8.9,72.0,57.0,1.0
64.8,58.0,1013.1,8.8,1.5,7.0,75.0,55.0,0.0
71.2,62.6,1016.8,9.2,1.8,8.9,84.9,57.9,0.0
62.9,53.0,1020.5,14.9,1.3,8.9,75.9,51.1,0.0
58.0,50.8,1014.8,8.8,10.5,20.0,71.1,54.0,0.0
63.2,55.4,1015.3,11.1,3.5,12.0,71.1,55.0,1.0
74.5,66.5,1016.4,10.1,2.0,8.9,84.9,64.9,0.0
60.5,50.5,1015.6,8.5,3.3,10.1,75.0,48.9,0.0
64.5,57.6,1012.9,10.6,7.8,13.0,71.1,59.0,0.0
68.6,64.8,1012.5,5.6,11.9,20.0,73.0,66.0,1.0
50.4,43.2,1015.5,9.7,10.5,17.1,64.0,43.0,0.0
53.2,46.9,1018.1,10.3,5.3,18.1,69.1,42.1,0.0
64.8,54.2,1015.0,12.0,3.6,10.1,80.1,54.0,0.0
66.1,57.3,1018.8,7.8,5.7,20.0,82.9,57.0,0.0
61.0,48.6,1012.4,12.8,7.3,19.0,81.0,48.0,0.0
47.3,33.9,1020.4,9.2,5.4,15.0,63.0,34.0,0.0
60.9,47.7,1015.4,11.6,3.9,13.0,77.0,48.9,0.0
44.2,35.7,1019.1,9.0,3.5,10.1,55.9,35.1,0.0
50.7,37.3,1014.7,14.9,8.8,17.1,60.1,41.0,0.0
23.2,12.0,1031.6,12.0,15.0,22.0,32.0,15.1,0.0
48.3,35.7,1012.0,8.4,15.4,24.1,68.0,37.0,0.0
44.1,33.2,1007.6,11.1,5.9,17.1,60.1,33.1,0.0
40.8,34.4,1013.8,10.1,4.9,13.0,53.1,35.1,1.0
26.2,17.8,1024.1,11.1,12.6,17.1,39.9,17.1,0.0
33.7,26.9,1015.7,7.6,4.7,12.0,39.9,25.0,0.0
29.8,20.8,1008.8,8.8,10.8,17.1,39.9,23.0,0.0
16.2,10.8,1014.0,7.4,5.0,8.9,30.0,5.0,0.0
31.6,25.3,1014.5,9.9,13.3,30.1,36.0,24.1,0.0
22.2,15.2,1024.5,8.9,6.2,17.1,32.0,17.1,0.0
16.5,11.2,1029.5,7.4,6.4,13.0,28.0,8.1,0.0
34.7,26.0,1023.4,9.9,7.0,10.1,45.0,28.9,0.0
26.1,16.9,1014.9,11.6,9.3,17.1,46.9,16.0,0.0
31.6,22.3,1010.0,9.4,11.1,20.0,46.0,25.0,0.0
20.4,14.9,1021.3,9.4,11.5,19.0,23.0,15.1,0.0
23.5,19.2,1011.3,9.0,1.0,6.0,35.1,10.9,0.0
28.0,22.4,1018.8,5.8,3.8,8.9,37.9,17.1,0.0
38.9,31.2,1004.3,10.0,7.2,13.0,53.1,28.9,0.0
6.6,-0.9,1036.1,9.0,8.6,17.1,18.0,-2.9,0.0
18.0,12.1,1027.3,9.5,7.2,13.0,26.1,12.0,0.0
-2.3,-9.7,1042.0,8.0,15.1,17.1,5.0,-7.1,0.0
6.6,-1.9,1027.2,10.2,5.1,13.0,28.0,-2.9,0.0
28.7,23.8,1012.5,6.2,18.1,35.0,39.0,12.0,1.0
32.4,22.1,1020.0,9.5,12.0,17.1,57.0,23.0,0.0
9.2,-0.3,1043.0,9.1,4.6,13.0,23.0,-2.9,0.0
35.7,33.7,1011.6,4.3,3.7,15.9,45.0,25.0,0.0
36.0,33.2,1022.3,5.2,10.8,17.1,42.1,32.0,0.0
44.7,39.1,1007.0,6.8,6.1,13.0,59.0,35.1,1.0
35.0,30.9,1011.7,7.5,15.3,26.0,37.9,32.0,1.0
38.0,26.8,1010.0,8.6,15.3,25.1,60.1,24.1,0.0
32.6,27.0,1022.9,6.0,17.3,26.0,36.0,30.9,1.0
24.9,20.0,1018.0,8.3,16.8,22.0,30.9,21.9,0.0
22.1,17.2,1018.7,4.0,21.6,30.1,28.0,17.1,0.0
44.5,34.2,1006.3,11.4,9.8,14.0,63.0,35.1,0.0
48.7,37.7,1014.4,11.2,14.5,28.0,75.0,35.1,0.0
34.3,23.5,1010.2,9.7,19.0,27.0,39.0,30.9,0.0
41.5,31.7,1018.7,12.4,8.1,17.1,57.9,28.9,0.0
41.6,34.9,1007.7,9.1,18.8,26.0,48.0,35.1,1.0
38.2,33.3,1012.3,6.9,17.5,26.0,44.1,33.1,1.0
38.8,26.4,1015.0,9.5,20.4,26.0,50.0,33.1,0.0
46.0,34.8,1017.6,9.9,11.2,17.1,57.0,35.1,0.0
47.8,35.8,1022.9,12.2,11.1,26.0,66.0,36.0,0.0
62.4,55.4,1013.4,7.6,16.7,26.0,81.0,53.1,1.0
63.8,59.1,1004.2,8.9,17.0,35.0,73.9,57.9,1.0
55.7,44.4,1014.3,10.4,11.0,22.0,66.9,44.1,0.0
63.4,58.2,1010.4,8.2,7.1,17.1,72.0,57.9,1.0
65.2,53.3,1015.5,14.0,15.4,26.0,78.1,55.0,0.0
67.3,63.1,1014.8,7.8,9.8,22.0,73.9,63.0,1.0
65.3,59.0,1011.1,9.7,9.0,17.1,78.1,61.0,1.0
64.9,61.1,1005.0,9.3,7.6,22.0,75.0,59.0,1.0
69.9,60.2,1010.5,12.6,7.8,18.1,80.1,60.1,1.0
60.6,59.2,1011.6,5.4,10.9,17.1,68.0,54.0,1.0
58.9,55.4,1017.1,8.7,11.8,17.1,64.9,55.9,1.0
66.9,56.7,1017.9,10.6,3.6,8.9,75.9,57.9,0.0
70.4,61.8,1014.9,10.6,7.8,13.0,79.0,64.0,1.0
74.1,66.4,1011.1,10.0,8.6,15.0,82.9,66.9,1.0
67.3,64.7,1009.3,8.6,7.2,26.0,75.0,61.0,1.0
72.0,66.7,1008.6,8.7,9.1,17.1,84.0,64.9,1.0
63.4,56.8,1013.8,12.3,7.9,17.1,70.0,55.0,0.0
66.4,58.7,1014.2,14.9,11.6,17.1,75.9,57.0,0.0
80.9,72.8,1002.7,10.6,9.2,17.1,88.0,73.0,1.0
64.4,61.9,1019.4,5.3,8.8,11.1,68.0,62.1,1.0
83.2,76.0,1013.8,9.6,6.4,13.0,95.0,75.0,0.0
84.3,75.5,1010.3,12.2,11.8,22.0,95.0,75.9,0.0
75.4,66.6,1019.1,9.2,3.0,10.1,84.0,64.9,0.0
78.8,68.7,1015.6,11.4,8.0,13.0,87.1,69.1,0.0
75.6,68.0,1017.0,11.0,3.7,15.9,87.1,64.9,0.0
78.1,67.0,1013.7,14.1,14.5,19.0,98.1,66.9,0.0
73.0,63.9,1011.2,11.2,8.9,30.1,84.0,64.9,1.0
71.8,64.2,1017.2,9.9,6.2,22.0,82.0,62.1,1.0
72.2,63.7,1015.1,10.3,6.5,15.9,82.0,64.0,0.0
67.7,57.9,1019.3,12.2,10.8,17.1,77.0,57.9,0.0
78.3,71.2,1010.7,10.2,14.0,22.0,91.0,70.0,1.0
81.3,74.0,1006.3,10.1,8.3,10.1,93.0,73.0,0.0
65.2,59.9,1017.1,9.4,6.9,13.0,72.0,61.0,1.0
64.7,57.2,1017.4,9.8,5.2,13.0,75.0,54.0,0.0
65.8,56.6,1006.0,14.3,6.0,15.0,82.0,54.0,0.0
61.5,48.8,1017.5,12.5,6.7,15.9,72.0,51.1,0.0
62.1,53.2,1016.8,8.1,3.0,13.0,78.1,48.9,0.0
51.7,44.7,1018.0,9.6,3.2,10.1,66.0,41.0,1.0
65.8,58.5,1003.5,5.8,14.2,22.0,75.9,55.9,1.0
66.5,60.8,1013.2,10.3,6.3,15.0,79.0,59.0,0.0
69.2,61.8,1001.1,8.8,9.2,17.1,79.0,60.1,1.0
46.3,37.8,1028.6,7.7,4.0,11.1,61.0,34.0,0.0
64.2,54.0,1015.3,9.6,12.7,26.0,77.0,54.0,0.0
57.3,46.7,1014.3,9.5,16.0,24.1,70.0,48.0,0.0
47.9,42.3,1011.5,8.6,10.5,17.1,62.1,39.9,0.0
45.8,37.6,1021.0,9.6,8.0,22.0,64.9,34.0,0.0
44.8,37.0,1016.9,8.5,1.1,8.9,60.1,34.0,0.0
29.7,21.6,1028.7,10.6,11.5,22.0,35.1,23.0,0.0
22.7,15.1,1028.6,9.3,6.0,13.0,30.0,19.0,0.0
43.1,34.4,1015.3,7.9,2.2,8.9,60.1,28.9,0.0
52.8,49.1,990.3,9.6,10.6,26.0,59.0,48.0,1.0
22.7,14.3,1037.8,7.8,16.1,22.0,28.0,19.0,0.0
42.2,35.2,1009.0,9.9,12.0,22.0,55.0,35.1,0.0
30.0,24.5,1017.0,5.5,8.9,17.1,34.0,24.1,1.0
43.3,37.6,1018.5,9.0,8.0,11.1,54.0,35.1,0.0
52.3,47.3,999.8,8.1,16.3,22.9,60.1,43.0,0.0
38.6,33.3,1004.9,10.6,14.2,22.9,43.0,35.1,0.0
30.6,23.7,1016.7,10.4,12.3,22.0,39.9,23.0,0.0
-4.6,-25.7,1038.7,9.8,15.7,17.1,3.9,-11.9,0.0
13.3,3.1,1010.6,9.2,12.5,22.0,28.0,1.0,0.0
12.3,2.8,1022.1,10.4,12.8,18.1,21.0,7.0,0.0
6.4,-5.1,1039.8,8.2,4.4,17.1,23.0,-5.1,0.0
28.5,26.2,999.5,3.5,15.0,24.1,37.9,14.0,1.0
27.9,22.7,1021.4,6.2,6.0,8.9,32.0,25.0,0.0
28.4,24.6,1005.1,6.4,3.5,10.1,35.1,21.9,0.0
25.9,20.9,1020.5,6.7,5.4,13.0,33.1,19.0,0.0
39.6,36.2,1012.9,7.0,4.2,8.9,44.1,37.9,1.0
22.0,13.8,1022.5,9.9,9.5,17.1,34.0,12.0,0.0
8.1,-2.5,1029.5,7.9,8.9,17.1,19.9,3.9,0.0
16.4,6.9,1027.6,9.6,9.3,15.9,30.0,10.9,0.0
41.6,33.8,1018.4,9.4,5.5,12.0,48.0,36.0,1.0
34.2,26.4,1009.9,9.7,6.0,17.1,41.0,28.0,0.0
37.8,24.2,1017.7,10.1,4.5,8.9,57.9,27.0,0.0
41.4,38.7,1005.7,3.5,10.5,15.9,48.9,37.9,1.0
35.7,27.2,1017.5,9.8,5.4,17.1,44.1,32.0,0.0
20.8,6.9,1024.8,10.1,7.9,17.1,32.0,12.9,0.0
27.1,16.4,1030.5,6.8,7.9,13.0,39.9,18.0,0.0
31.8,24.6,1012.2,4.8,11.4,17.1,35.1,30.0,0.0
14.0,0.2,1023.1,8.9,11.8,22.0,24.1,3.0,0.0
34.1,28.1,1021.6,4.1,5.3,15.9,39.0,30.0,1.0
39.3,31.1,1000.8,10.0,14.0,22.0,50.0,34.0,1.0
34.2,22.6,1025.1,9.5,5.4,13.0,46.0,27.0,0.0
46.1,34.2,1008.8,11.8,9.2,19.0,51.1,41.0,0.0
22.3,11.8,1009.3,10.9,5.4,15.9,35.1,8.1,0.0
44.0,31.4,1015.9,11.0,3.0,8.9,57.9,33.1,0.0
45.9,33.4,1014.4,10.8,11.7,26.0,59.0,37.0,0.0
36.9,25.6,1024.3,8.7,10.6,17.1,39.0,35.1,0.0
36.5,31.5,1018.6,5.4,18.6,27.0,52.0,32.0,1.0
38.4,30.9,1011.1,5.6,16.8,30.1,46.0,34.0,1.0
51.4,43.2,1025.2,7.0,4.5,10.1,61.0,48.0,1.0
60.5,56.6,1012.2,5.7,5.4,13.0,72.0,57.0,1.0
56.1,39.1,1022.4,10.9,2.5,8.9,73.9,39.0,0.0
70.5,47.2,1015.6,12.1,5.2,13.0,82.9,54.0,0.0
74.3,56.9,1017.0,10.0,3.1,10.1,88.0,62.1,0.0
66.2,52.8,1010.3,8.3,12.8,20.0,73.9,57.9,1.0
48.7,32.8,1017.5,12.1,13.2,26.0,63.0,39.0,0.0
63.4,48.1,1007.9,12.5,8.8,20.0,81.0,55.0,1.0
56.5,43.7,1019.3,10.1,3.5,12.0,64.9,45.0,0.0
62.8,57.0,1009.4,9.3,8.0,13.0,75.0,55.0,0.0
66.9,53.5,1013.5,8.9,11.7,22.0,80.1,55.0,1.0
64.5,51.6,1012.2,12.1,9.6,15.0,73.9,55.0,0.0
72.4,59.9,1011.6,10.3,15.2,22.9,84.0,64.0,1.0
79.7,67.5,1007.7,11.6,11.8,22.0,89.1,73.0,1.0
87.4,72.7,1004.4,12.9,11.0,18.1,99.0,77.0,0.0
81.9,63.5,1004.3,14.5,17.5,26.0,96.1,71.1,1.0
73.1,63.8,1008.9,10.4,13.6,22.0,86.0,64.9,1.0
84.3,69.6,1002.2,11.9,14.6,22.0,98.1,68.0,1.0
85.5,69.8,1011.9,13.0,10.3,20.0,96.1,75.0,0.0
82.0,68.0,1012.8,14.9,10.1,15.9,93.9,75.0,0.0
84.3,64.9,1012.9,14.9,12.7,21.0,100.0,72.0,0.0
77.7,58.9,1012.0,12.8,7.3,15.9,93.9,62.1,0.0
69.3,65.9,1016.8,8.9,9.3,20.0,80.1,64.0,1.0
79.1,72.0,1013.1,10.4,10.3,14.0,89.1,73.0,0.0
87.1,70.7,1007.6,14.9,14.9,20.0,100.0,79.0,0.0
83.3,64.5,1016.9,12.6,9.2,15.0,93.9,73.9,0.0
74.4,60.4,1015.4,13.1,6.5,15.0,84.9,64.0,0.0
74.3,68.5,1009.5,10.5,8.5,17.1,84.0,66.9,1.0
71.3,64.0,1014.9,10.1,5.9,15.0,80.1,64.9,1.0
70.8,62.5,1010.3,11.6,12.3,20.0,75.9,66.9,0.0
79.0,69.4,1005.1,11.6,10.6,25.1,88.0,72.0,1.0
78.6,69.8,1013.3,12.5,10.5,15.0,91.0,66.9,1.0
67.4,56.9,1022.3,11.6,8.8,15.0,77.0,57.9,0.0
79.7,70.3,1012.0,10.0,13.2,20.0,91.0,71.1,0.0
72.5,61.6,1006.3,9.9,10.8,15.0,80.1,66.0,0.0
69.1,55.6,1016.1,11.2,8.7,15.0,84.9,59.0,0.0
76.4,62.9,1017.3,9.3,12.9,20.0,90.0,66.0,0.0
74.8,60.1,1014.7,7.8,9.8,20.0,87.1,64.0,0.0
70.2,55.5,1011.5,9.9,7.4,20.0,84.9,57.0,1.0
57.9,51.9,1020.8,9.2,3.1,12.0,68.0,54.0,1.0
66.8,48.1,1018.9,11.2,9.3,15.0,82.9,53.1,1.0
72.1,52.2,1010.2,14.9,7.3,13.0,84.9,57.9,0.0
53.4,35.4,1023.2,11.4,9.1,17.1,63.0,42.1,0.0
37.5,22.0,1027.0,14.9,8.5,18.1,48.9,27.0,0.0
56.4,34.7,1021.1,9.8,10.0,20.0,70.0,42.1,0.0
50.3,35.7,1021.7,10.0,9.8,25.1,57.9,46.0,0.0
47.1,29.9,1026.1,9.7,5.6,17.1,72.0,30.9,0.0
52.5,27.8,1023.6,11.4,8.2,15.0,73.0,37.0,0.0
56.2,39.8,1015.8,4.7,2.5,8.0,75.0,39.9,0.0
55.2,21.7,1010.4,10.1,10.8,18.1,73.9,42.1,0.0
43.0,23.4,1032.7,8.8,7.4,14.0,59.0,28.0,0.0
36.2,19.7,1024.1,9.7,8.9,18.1,50.0,25.0,0.0
42.3,22.3,1016.2,11.6,7.0,10.1,60.1,33.1,0.0
47.0,29.3,1006.9,8.2,6.8,20.0,68.0,32.0,0.0
38.8,25.3,1017.3,11.3,13.6,22.0,45.0,30.9,0.0
38.6,25.6,1024.9,9.6,7.5,17.1,42.1,35.1,0.0
16.7,6.9,1027.3,10.6,9.4,15.0,24.1,9.0,0.0
30.6,26.7,1020.0,4.2,13.7,20.0,33.1,27.0,0.0
32.5,24.6,1018.2,10.3,3.0,8.9,42.1,23.0,0.0
36.4,27.9,1009.9,10.3,7.8,12.0,44.1,28.0,0.0
22.4,15.8,1026.2,7.2,11.6,20.0,28.9,18.0,0.0
32.6,24.3,1015.1,6.0,8.7,20.0,41.0,26.1,0.0
26.3,22.6,1020.3,3.4,5.5,10.1,28.0,24.1,0.0
20.4,12.3,1026.2,8.7,5.1,8.9,25.0,16.0,0.0
25.1,18.0,1010.6,10.1,5.5,12.0,35.1,19.0,0.0
26.6,20.1,1015.7,5.5,11.9,18.1,30.0,19.0,0.0
18.2,11.0,1015.9,6.8,11.2,20.0,21.0,14.0,0.0
25.8,22.0,1017.2,3.0,4.2,10.1,39.9,19.9,0.0
30.7,27.0,1009.7,3.1,7.8,17.1,37.9,27.0,1.0
25.9,18.9,1009.7,11.0,8.8,15.9,30.9,21.9,0.0
32.8,27.3,1013.0,5.5,15.8,20.0,41.0,25.0,1.0
33.8,25.4,1012.3,7.4,9.3,17.1,43.0,26.1,0.0
39.2,33.0,1010.8,8.6,3.1,10.1,52.0,33.1,1.0
33.4,26.5,1017.0,6.4,3.5,7.0,44.1,28.0,0.0
34.9,26.6,1017.0,14.2,5.3,10.1,42.1,28.0,0.0
27.9,21.0,1017.6,7.6,13.3,17.1,30.9,25.0,0.0
