n1,n2,n3,n4,n5,n6,n7,n8,class
-1.3,-11.1,1019.6,9.8,15.6,25.1,7.0,-7.1,0.0
34.8,26.6,1021.2,14.9,17.4,26.0,46.9,28.9,0.0
36.3,30.7,1013.1,11.2,10.4,19.0,42.1,28.0,0.0
15.3,8.3,1029.2,11.5,6.0,11.1,39.9,3.9,0.0
25.2,17.5,1030.2,12.0,5.6,13.0,43.0,16.0,0.0
28.1,25.4,999.3,1.8,6.6,22.0,35.1,12.0,1.0
31.9,23.7,1010.4,11.8,9.1,22.0,50.0,24.1,0.0
8.3,-1.4,1029.3,8.6,0.2,4.1,21.0,-8.0,0.0
38.8,32.5,1019.2,6.8,6.0,14.0,44.1,35.1,0.0
33.9,26.0,1019.9,10.0,3.2,14.0,52.0,24.1,0.0
24.1,21.1,1019.6,2.5,15.9,21.0,30.9,21.0,0.0
30.5,21.2,1019.6,10.1,2.3,12.0,44.1,21.9,0.0
30.5,27.1,1010.3,6.1,8.9,17.1,37.9,27.0,0.0
15.6,7.8,1024.4,14.3,10.5,14.0,21.9,12.0,0.0
27.5,18.6,1028.3,14.9,15.7,30.1,32.0,19.0,0.0
48.2,36.7,1016.8,11.5,2.5,12.0,64.9,30.9,0.0
22.6,13.5,1027.0,13.3,8.0,18.1,34.0,18.0,0.0
16.9,6.9,1027.1,11.0,8.5,14.0,30.0,9.0,0.0
40.3,31.2,1012.1,14.5,7.5,18.1,52.0,32.0,0.0
32.8,29.3,1014.0,1.9,3.6,13.0,36.0,30.0,0.0
44.7,35.5,1010.6,14.0,11.6,24.1,55.0,37.0,0.0
30.2,23.7,1023.5,10.3,9.8,18.1,39.0,24.1,0.0
53.6,32.4,1003.0,14.9,10.4,17.1,66.0,46.0,0.0
39.0,24.1,1029.0,13.5,9.5,22.0,55.0,27.0,0.0
57.1,47.2,999.6,10.5,13.8,22.0,71.1,37.0,1.0
37.9,15.0,1027.7,12.1,0.1,2.9,55.0,24.1,0.0
54.7,41.1,1011.5,13.5,11.0,19.0,66.9,48.9,1.0
65.9,45.6,1007.4,14.2,6.4,20.0,89.1,45.0,0.0
39.0,28.0,1012.5,13.3,5.1,15.0,51.1,30.0,0.0
40.4,34.9,1021.3,10.9,9.1,17.1,48.9,34.0,0.0
71.0,66.5,999.1,6.0,7.6,15.0,89.1,61.0,0.0
56.9,50.7,1015.2,10.9,18.4,26.0,64.9,48.0,1.0
64.5,49.6,1017.6,14.9,4.8,12.0,77.0,54.0,0.0
67.4,50.2,1010.2,14.8,6.8,13.0,80.1,57.9,1.0
59.4,52.6,1015.3,11.1,2.8,8.9,68.0,48.9,1.0
77.3,61.2,1006.7,14.8,5.7,17.1,86.0,68.0,0.0
57.0,52.2,1015.2,8.5,4.0,10.1,64.9,52.0,1.0
65.7,48.1,1016.1,14.9,6.0,15.0,77.0,55.0,0.0
67.4,49.5,1011.8,14.9,4.5,15.0,84.9,52.0,0.0
69.3,54.6,1013.5,12.4,4.4,13.0,80.1,59.0,1.0
83.6,70.5,1004.9,14.9,9.9,22.0,91.0,75.9,1.0
64.0,58.5,1018.1,10.9,8.2,15.0,73.0,57.9,1.0
76.6,65.3,1011.1,14.9,3.1,13.0,89.1,66.9,0.0
85.4,71.9,1005.1,14.3,10.6,18.1,95.0,78.1,0.0
67.8,50.2,1019.5,13.2,2.0,10.1,81.0,52.0,0.0
76.5,63.1,1012.8,14.1,2.9,12.0,84.0,68.0,1.0
72.8,53.5,1018.8,14.8,3.4,13.0,84.9,61.0,0.0
72.3,65.2,1014.7,12.3,6.1,10.1,77.0,68.0,1.0
72.9,62.1,1008.4,12.6,12.6,40.0,82.9,64.9,1.0
68.0,62.9,1011.6,10.4,6.8,15.0,73.0,64.0,1.0
70.1,61.2,1015.7,11.1,4.0,17.1,81.0,63.0,1.0
72.3,63.7,1015.9,13.9,2.0,10.1,82.0,62.1,0.0
76.1,68.5,1008.2,12.0,3.7,10.1,84.0,66.9,1.0
71.7,63.9,1014.9,13.6,8.8,13.0,80.1,66.0,1.0
71.3,65.6,1018.1,8.9,1.0,7.0,84.9,60.1,0.0
70.2,66.4,1017.8,9.2,7.7,13.0,79.0,66.0,1.0
77.1,67.8,1016.2,13.4,3.0,10.1,88.0,64.9,0.0
55.0,42.8,1022.9,13.0,1.7,10.1,68.0,42.1,0.0
75.3,66.2,1011.7,12.5,8.0,15.9,84.0,66.9,0.0
66.4,62.9,1013.0,7.6,1.0,8.0,77.0,60.1,1.0
70.7,63.3,1014.3,8.3,1.0,8.9,86.0,57.9,0.0
64.3,52.6,1025.2,14.9,5.0,10.1,75.0,54.0,0.0
65.3,57.3,1015.0,7.7,1.7,8.9,78.1,52.0,0.0
56.6,49.1,1020.2,9.5,0.8,5.1,66.9,45.0,1.0
66.0,58.9,1020.8,8.6,2.1,10.1,78.1,55.9,0.0
64.6,60.9,1010.6,8.0,5.9,15.9,73.9,60.1,1.0
58.2,47.7,1021.1,13.4,3.1,8.9,75.0,46.0,0.0
67.7,63.8,1013.8,7.6,12.2,25.1,80.1,55.9,1.0
44.4,35.6,1029.9,11.1,3.0,10.1,54.0,36.0,0.0
60.1,53.5,1008.2,11.6,6.5,17.1,70.0,51.1,1.0
58.9,48.3,1013.3,11.1,6.7,20.0,75.9,46.9,0.0
64.6,53.4,1015.7,12.1,7.8,20.0,80.1,54.0,0.0
65.8,51.4,1018.0,14.2,8.4,15.9,77.0,55.0,0.0
45.6,40.0,1020.4,9.4,11.7,22.9,50.0,43.0,0.0
58.8,48.8,1008.0,6.0,2.2,8.9,77.0,45.0,0.0
69.4,57.7,1006.3,11.0,10.5,19.0,82.9,57.9,0.0
34.3,27.9,1022.9,9.6,6.4,15.9,45.0,25.0,0.0
39.4,35.1,1011.4,8.4,13.0,25.1,43.0,36.0,1.0
28.9,19.9,1025.3,9.8,2.5,10.1,39.9,21.0,0.0
41.2,27.9,1022.7,10.7,14.6,25.1,54.0,32.0,0.0
19.4,10.8,1025.0,8.3,10.5,18.1,28.9,8.1,0.0
11.5,1.2,1031.7,10.7,19.2,30.1,19.9,6.1,0.0
26.8,18.0,1024.7,9.2,2.3,10.1,37.0,18.0,0.0
30.3,27.3,1003.9,6.2,12.5,22.9,39.0,19.9,1.0
-2.7,-10.5,1029.6,8.6,18.1,22.0,3.9,-11.9,0.0
28.0,22.8,1024.4,9.9,12.8,24.1,30.0,26.1,0.0
32.7,27.1,1014.2,6.5,7.0,13.0,48.0,21.9,0.0
15.9,7.2,1029.6,10.1,6.5,13.0,30.0,9.0,0.0
34.7,28.9,1021.5,6.6,7.7,19.0,55.0,21.9,0.0
15.2,5.8,1025.9,9.7,15.5,22.9,28.0,7.0,0.0
31.9,22.0,1017.5,10.4,3.6,10.1,45.0,21.9,0.0
10.5,4.6,1008.1,3.5,3.9,10.1,23.0,0.0,0.0
7.9,1.8,1030.2,9.6,4.7,17.1,32.0,-2.0,0.0
24.5,18.3,1020.5,9.6,5.0,15.9,39.0,15.1,0.0
36.4,31.5,1013.4,9.9,16.9,30.1,41.0,30.9,0.0
36.0,30.9,1004.3,8.7,9.8,25.1,52.0,28.0,0.0
30.6,25.5,1014.4,10.9,11.2,26.0,37.9,25.0,1.0
12.5,5.0,1020.5,8.0,19.2,22.0,28.0,3.9,0.0
9.4,3.3,1030.7,4.7,11.0,17.1,12.0,7.0,0.0
31.5,25.6,1017.4,9.9,7.8,20.0,36.0,27.0,0.0
17.3,8.9,1026.3,9.4,13.2,22.0,21.9,15.1,0.0
28.6,24.6,1013.2,4.1,17.3,25.1,43.0,16.0,0.0
27.5,25.8,1018.2,3.0,5.3,13.0,32.0,25.0,1.0
35.2,33.6,1017.6,1.9,14.0,19.0,42.1,33.1,1.0
43.7,38.6,1018.3,5.2,13.1,22.0,52.0,37.9,1.0
45.6,40.2,1002.2,6.3,21.9,35.0,54.0,36.0,1.0
28.7,20.6,1015.9,9.9,9.9,21.0,45.0,19.9,0.0
19.1,9.4,1029.4,9.4,16.5,22.0,42.1,6.1,0.0
19.4,15.4,1032.2,4.1,22.1,26.0,30.0,16.0,0.0
28.5,22.1,1012.5,10.4,11.6,22.0,39.0,23.0,0.0
18.1,8.4,1022.3,8.8,9.9,19.0,25.0,12.0,0.0
32.3,24.5,1023.3,11.8,7.6,19.0,48.0,23.0,0.0
40.8,40.0,1004.4,3.6,16.2,22.0,50.0,35.1,1.0
33.8,28.5,1013.8,8.5,15.0,22.0,37.9,30.0,0.0
46.0,39.8,1013.8,8.0,10.1,17.1,57.9,39.9,1.0
38.7,35.9,1007.7,5.7,10.8,17.1,44.1,35.1,1.0
41.2,32.9,1009.5,9.4,19.8,28.0,55.9,35.1,0.0
46.3,35.0,1012.6,11.1,13.2,30.1,68.0,32.0,0.0
47.3,45.3,1010.6,5.3,12.0,17.1,48.9,45.0,1.0
47.8,44.2,1013.6,7.6,16.2,22.9,53.1,44.1,1.0
72.4,63.7,1001.7,10.4,12.8,20.0,82.9,64.9,1.0
66.0,46.3,1012.5,12.4,8.6,17.1,78.1,52.0,0.0
51.5,40.7,1025.8,11.1,6.7,22.9,66.0,37.9,0.0
54.3,47.7,1017.9,10.6,4.4,17.1,66.0,42.1,0.0
69.4,59.3,1018.8,10.2,15.0,22.9,81.0,62.1,1.0
65.7,60.2,1010.5,10.0,8.0,12.0,75.0,60.1,1.0
61.4,52.4,1017.0,11.6,6.7,13.0,73.9,46.9,0.0
61.7,52.1,1013.2,14.9,12.2,26.0,72.0,48.9,0.0
75.6,67.4,1009.4,9.4,12.0,19.0,86.0,64.9,1.0
53.0,45.2,1023.8,10.9,5.8,8.9,62.1,44.1,0.0
62.0,58.2,1010.2,6.5,7.5,15.9,70.0,57.9,1.0
67.2,58.2,1011.8,9.4,4.1,8.9,78.1,55.9,0.0
68.8,63.3,1006.7,8.0,1.8,8.9,80.1,61.0,1.0
64.7,56.6,1012.5,11.6,9.5,15.9,73.9,55.0,1.0
64.9,60.2,1013.4,12.1,7.6,22.0,75.0,57.0,1.0
65.4,58.3,1014.9,10.6,10.0,22.0,80.1,60.1,1.0
69.5,64.0,1013.5,11.3,9.1,19.0,78.1,63.0,0.0
67.7,64.4,1015.0,8.5,15.3,22.0,80.1,61.0,1.0
70.0,63.9,1013.6,10.9,12.1,28.9,81.0,62.1,1.0
69.8,63.2,1020.0,9.9,3.0,11.1,82.0,57.9,0.0
77.7,71.5,1017.4,11.0,7.4,26.0,88.0,68.0,1.0
73.8,65.3,1016.1,9.9,11.0,15.9,84.9,64.9,1.0
79.7,69.5,1015.3,9.2,3.2,13.0,91.0,70.0,0.0
81.8,73.6,1014.4,7.9,10.0,17.1,95.0,73.9,0.0
78.0,67.0,1016.6,9.6,7.4,15.0,86.0,70.0,1.0
80.2,69.4,1010.0,10.3,6.1,17.1,93.0,69.1,0.0
73.1,65.7,1017.7,9.2,4.0,10.1,82.9,64.9,0.0
69.6,63.0,1014.8,9.5,11.8,26.0,82.0,60.1,1.0
74.7,64.8,1016.2,11.0,6.0,8.9,90.0,66.0,0.0
67.4,59.8,1021.8,10.1,9.5,17.1,77.0,62.1,1.0
75.0,67.3,1007.9,10.1,9.9,20.0,84.9,64.9,1.0
76.2,72.0,1009.0,8.3,6.1,17.1,88.0,71.1,1.0
63.9,58.1,1020.5,9.3,7.5,13.0,69.1,60.1,1.0
68.6,60.2,1017.1,10.2,10.5,22.0,75.9,63.0,0.0
67.8,62.2,1002.9,8.9,17.0,26.0,84.9,55.0,1.0
55.7,45.0,1024.0,9.9,3.3,8.9,70.0,43.0,0.0
68.9,59.0,1005.5,11.7,10.4,22.0,82.9,57.9,0.0
52.0,48.5,1017.9,8.7,8.4,13.0,60.1,48.9,1.0
43.5,30.5,1030.2,9.1,7.3,15.0,55.9,30.9,0.0
73.0,63.6,1002.1,9.8,9.3,17.1,82.9,64.9,0.0
48.9,46.2,1023.2,7.4,9.4,13.0,53.1,46.9,1.0
58.2,47.4,1021.4,8.8,2.8,12.0,77.0,45.0,0.0
65.6,47.7,1015.7,12.0,15.1,30.1,75.0,55.0,1.0
44.2,39.6,1029.1,7.5,8.8,15.0,46.9,43.0,1.0
41.5,35.3,1015.3,8.6,10.8,18.1,46.0,36.0,1.0
48.5,43.3,1021.7,6.9,11.6,17.1,59.0,42.1,1.0
49.8,43.7,1009.9,8.0,16.0,26.0,55.9,37.9,1.0
29.2,18.6,1011.0,10.0,16.3,35.0,44.1,19.0,0.0
29.0,19.0,1026.4,9.4,8.9,13.0,35.1,21.0,0.0
49.3,44.1,1014.6,8.8,12.0,30.1,59.0,41.0,0.0
33.8,27.3,1012.0,13.0,10.2,20.0,43.0,25.0,0.0
31.5,23.4,1025.5,9.4,9.0,17.1,44.1,24.1,0.0
25.8,18.2,1022.2,9.9,5.8,13.0,37.9,19.0,0.0
35.3,30.2,1022.1,9.4,11.1,20.0,46.0,28.9,0.0
41.6,40.0,1013.6,4.1,8.6,10.1,50.0,32.0,1.0
42.1,39.3,1001.4,5.2,10.9,22.0,46.9,39.9,1.0
25.0,18.8,1029.8,9.2,8.8,15.9,33.1,19.0,0.0
18.6,9.2,1020.9,6.9,7.6,13.0,24.1,15.1,0.0
10.0,2.0,1021.5,6.4,9.5,14.0,19.9,1.0,0.0
-1.3,-17.3,1013.5,10.6,16.5,22.9,5.0,-8.0,0.0
16.2,7.8,1022.5,9.5,11.0,17.1,21.9,10.9,0.0
28.8,21.5,1003.3,7.2,0.3,7.0,43.0,19.9,0.0
11.9,2.0,1032.8,9.3,2.3,17.1,25.0,5.0,0.0
10.5,1.9,1028.0,9.4,8.2,13.0,21.0,0.0,0.0
14.4,4.6,1032.7,9.8,4.0,15.0,28.0,3.9,0.0
41.7,38.4,1001.9,5.6,9.4,20.0,54.0,30.9,1.0
32.2,27.2,1018.9,10.8,3.4,17.1,39.9,26.1,0.0
12.3,3.0,1008.4,5.3,18.2,24.1,36.0,5.0,0.0
30.2,24.2,1012.9,4.3,7.3,13.0,34.0,27.0,0.0
26.1,15.3,1022.4,9.7,8.2,11.1,46.9,17.1,0.0
38.6,33.5,1008.5,5.0,10.2,17.1,45.0,34.0,1.0
36.5,25.9,1016.6,8.6,3.9,10.1,51.1,28.0,0.0
40.2,27.9,1016.0,11.4,6.4,17.1,55.9,27.0,0.0
28.6,22.3,1023.3,7.7,1.0,10.1,34.0,25.0,0.0
39.4,33.8,1004.3,6.3,14.6,22.0,46.9,34.0,1.0
34.0,27.4,1021.8,3.8,2.9,8.9,42.1,30.0,0.0
40.7,29.7,1013.3,9.9,0.1,2.9,55.0,30.0,0.0
33.6,28.2,1009.3,4.8,11.0,17.1,37.0,30.9,0.0
24.6,11.6,1032.1,10.4,11.8,15.0,32.0,21.9,0.0
36.0,30.2,1005.0,3.3,13.1,22.0,44.1,33.1,1.0
33.9,27.5,1019.2,5.8,6.4,10.1,37.0,32.0,1.0
41.8,38.9,996.0,4.1,13.6,22.9,48.0,36.0,1.0
27.6,23.1,1007.8,0.4,23.0,35.0,30.0,23.0,0.0
33.3,23.1,1018.5,12.1,2.4,13.0,43.0,25.0,0.0
61.5,51.3,1006.6,10.0,13.4,22.0,73.0,52.0,0.0
41.7,26.8,1015.0,10.7,5.8,13.0,54.0,35.1,0.0
50.9,33.0,1017.5,10.4,10.0,20.0,69.1,37.0,0.0
37.6,26.5,1021.3,9.4,11.2,19.0,45.0,33.1,1.0
47.8,30.5,1023.8,11.3,1.5,6.0,64.9,33.1,0.0
57.8,50.7,1014.9,7.7,4.3,12.0,66.9,50.0,0.0
49.5,41.9,1019.5,6.9,13.2,19.0,55.0,46.9,1.0
66.0,44.7,1013.1,14.9,6.7,15.0,80.1,54.0,0.0
72.8,53.7,1014.3,11.7,6.7,17.1,84.0,63.0,1.0
74.9,52.8,1010.2,11.0,10.0,21.0,87.1,64.9,1.0
54.0,47.3,1009.0,7.5,11.0,17.1,59.0,51.1,1.0
57.8,38.5,1020.5,10.6,4.1,13.0,75.0,41.0,0.0
55.1,45.7,1020.5,9.3,12.3,22.0,64.0,48.9,1.0
62.0,55.3,1006.4,8.8,13.3,20.0,70.0,57.0,1.0
66.7,55.6,1014.3,9.8,4.8,10.1,84.0,54.0,0.0
59.3,44.8,1017.8,12.2,10.7,27.0,73.9,50.0,1.0
74.1,61.7,1010.3,9.6,12.0,22.0,90.0,62.1,1.0
79.5,65.1,1011.4,10.8,3.3,15.9,90.0,68.0,0.0
79.7,62.5,1010.4,13.1,10.8,27.0,88.0,72.0,1.0
86.6,71.5,1007.6,12.0,16.5,27.0,96.1,75.9,0.0
72.9,57.6,1012.0,9.6,8.4,17.1,89.1,64.0,1.0
75.1,66.7,1009.2,11.6,14.5,25.1,84.9,68.0,1.0
75.7,66.7,1010.9,11.0,9.9,19.0,84.0,68.0,1.0
81.9,69.6,1015.0,14.5,5.3,10.1,93.0,73.9,1.0
76.4,56.3,1022.2,14.9,5.1,13.0,90.0,64.0,0.0
65.3,54.4,1022.4,12.0,8.1,15.9,75.9,55.0,0.0
80.9,62.4,1015.4,12.3,12.1,26.0,91.0,70.0,1.0
74.9,66.2,1012.1,9.4,13.9,30.1,90.0,64.9,0.0
84.2,72.2,1005.7,11.3,9.8,19.0,93.0,77.0,1.0
76.2,61.4,1020.0,10.9,8.3,18.1,88.0,66.9,0.0
82.3,65.3,1014.2,9.9,8.4,17.1,96.1,72.0,0.0
75.0,64.6,1015.7,11.9,13.1,24.1,84.9,64.9,1.0
65.0,58.4,1016.5,12.6,5.6,11.1,73.0,60.1,1.0
71.3,61.6,1012.2,11.8,7.7,10.1,80.1,62.1,0.0
74.0,64.2,1013.7,10.4,7.7,13.0,90.0,64.9,1.0
76.0,68.9,1013.8,13.0,7.1,17.1,82.0,70.0,1.0
71.2,61.1,1016.9,9.8,9.6,17.1,78.1,64.9,0.0
66.7,58.2,1018.5,11.0,9.8,20.0,75.0,61.0,1.0
73.0,68.7,1013.3,7.2,7.7,20.0,82.0,68.0,1.0
58.8,46.2,1016.5,12.4,8.9,15.0,70.0,48.9,0.0
73.2,61.5,1018.0,11.1,8.4,17.1,84.0,64.0,0.0
77.2,62.1,1016.7,9.9,11.4,17.1,87.1,68.0,0.0
67.6,56.5,1016.8,11.4,12.1,22.9,81.0,60.1,1.0
66.1,53.3,1006.5,9.9,9.9,25.1,73.9,61.0,0.0
57.0,47.4,1023.4,9.1,7.7,15.0,68.0,46.9,1.0
65.8,48.9,1019.5,12.0,7.5,15.0,75.9,55.9,0.0
75.0,53.9,1013.3,9.7,6.3,20.0,93.0,62.1,0.0
53.5,32.6,1018.3,10.8,9.0,15.0,68.0,45.0,0.0
49.0,31.6,1021.9,12.4,2.7,10.1,69.1,35.1,0.0
53.8,37.3,1014.1,7.6,5.6,15.0,66.9,43.0,0.0
50.7,25.3,1015.0,10.2,8.7,18.1,68.0,39.9,0.0
42.9,22.9,1031.9,9.9,13.2,20.0,60.1,30.9,0.0
59.8,40.2,1018.5,8.5,6.2,20.0,80.1,45.0,0.0
36.8,17.2,1030.7,8.9,13.7,22.9,46.0,26.1,0.0
58.3,39.3,1011.8,8.3,6.5,20.0,75.9,46.9,0.0
52.3,27.5,1012.6,9.7,10.2,25.1,63.0,39.9,0.0
37.9,21.4,1023.6,9.9,11.7,24.1,46.9,30.0,0.0
54.6,30.6,1006.6,8.9,12.1,20.0,63.0,46.9,0.0
58.4,52.0,1002.8,7.6,13.9,28.0,66.9,53.1,1.0
39.4,28.0,1016.3,9.9,6.9,17.1,51.1,30.0,0.0
33.4,30.9,1008.8,1.8,15.7,26.0,35.1,30.0,1.0
24.2,17.3,1024.7,8.0,7.9,11.1,30.9,18.0,0.0
33.2,29.7,1013.0,3.7,19.2,26.0,35.1,30.0,1.0
34.7,26.0,1007.5,11.7,3.1,10.1,43.0,27.0,0.0
36.0,25.8,1011.4,9.7,9.3,25.1,46.0,28.0,0.0
26.0,16.6,1020.9,11.7,4.6,14.0,43.0,18.0,0.0
28.5,23.8,1019.5,5.0,13.8,22.0,30.9,26.1,1.0
28.2,23.6,1014.0,5.3,9.3,12.0,30.9,24.1,0.0
17.3,10.9,1026.4,5.7,6.3,12.0,23.0,12.0,0.0
18.1,13.4,1016.1,1.0,3.0,10.1,23.0,16.0,0.0
24.9,17.2,1014.2,10.6,6.7,22.0,39.9,17.1,0.0
22.3,16.8,1013.9,4.6,5.0,10.1,28.9,19.0,1.0
35.5,27.2,1011.5,11.1,9.4,15.9,46.9,30.0,0.0
-0.5,-9.5,1034.8,8.4,11.7,28.0,10.0,-8.0,0.0
26.2,21.7,1016.6,3.1,8.6,18.1,32.0,23.0,1.0
25.0,19.4,1017.9,12.1,10.1,18.1,33.1,19.9,0.0
28.0,20.9,1020.0,9.3,7.2,12.0,39.9,19.9,0.0
21.6,12.8,1022.5,8.5,13.0,20.0,32.0,14.0,0.0
36.3,32.7,1006.6,7.2,8.0,20.0,42.1,32.0,1.0
42.7,33.5,1018.3,9.2,14.3,25.1,51.1,39.0,1.0
